@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000317
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.00077
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.001138
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.004363
15,0,31,4,0.885714,1,0.326087,1,0.673913,0.491803,0.92,1.086957,0.004973
10,5,30,5,0.857143,0.666667,0.25,0.666667,0.75,0.363636,0.8,0.833333,0.043642
10,5,29,6,0.828571,0.666667,0.25641,0.666667,0.74359,0.37037,0.78,0.854701,0.102616
9,6,29,6,0.828571,0.6,0.236842,0.6,0.763158,0.339623,0.76,0.789474,0.138131
9,6,28,7,0.8,0.6,0.243243,0.6,0.756757,0.346154,0.74,0.810811,0.176785
9,6,27,8,0.771429,0.6,0.25,0.6,0.75,0.352941,0.72,0.833333,0.183901
8,7,27,8,0.771429,0.533333,0.228571,0.533333,0.771429,0.32,0.7,0.761905,0.210587
8,7,26,9,0.742857,0.533333,0.235294,0.533333,0.764706,0.326531,0.68,0.784314,0.21139
8,7,25,10,0.714286,0.533333,0.242424,0.533333,0.757576,0.333333,0.66,0.808081,0.287878
8,7,24,11,0.685714,0.533333,0.25,0.533333,0.75,0.340426,0.64,0.833333,0.299729
8,7,23,12,0.657143,0.533333,0.258065,0.533333,0.741935,0.347826,0.62,0.860215,0.349502
8,7,22,13,0.628571,0.533333,0.266667,0.533333,0.733333,0.355556,0.6,0.888889,0.433726
8,7,21,14,0.6,0.533333,0.275862,0.533333,0.724138,0.363636,0.58,0.91954,0.444235
8,7,20,15,0.571429,0.533333,0.285714,0.533333,0.714286,0.372093,0.56,0.952381,0.461413
8,7,19,16,0.542857,0.533333,0.296296,0.533333,0.703704,0.380952,0.54,0.987654,0.46611
8,7,18,17,0.514286,0.533333,0.307692,0.533333,0.692308,0.390244,0.52,1.025641,0.479473
8,7,17,18,0.485714,0.533333,0.32,0.533333,0.68,0.4,0.5,1.066667,0.535067
7,8,17,18,0.485714,0.466667,0.291667,0.466667,0.708333,0.358974,0.48,0.972222,0.535854
7,8,16,19,0.457143,0.466667,0.304348,0.466667,0.695652,0.368421,0.46,1.014493,0.53672
7,8,15,20,0.428571,0.466667,0.318182,0.466667,0.681818,0.378378,0.44,1.060606,0.54349
6,9,15,20,0.428571,0.4,0.285714,0.4,0.714286,0.333333,0.42,0.952381,0.547701
6,9,14,21,0.4,0.4,0.3,0.4,0.7,0.342857,0.4,1,0.547715
6,9,13,22,0.371429,0.4,0.315789,0.4,0.684211,0.352941,0.38,1.052632,0.55025
6,9,12,23,0.342857,0.4,0.333333,0.4,0.666667,0.363636,0.36,1.111111,0.561613
6,9,11,24,0.314286,0.4,0.352941,0.4,0.647059,0.375,0.34,1.176471,0.571187
5,10,11,24,0.314286,0.333333,0.3125,0.333333,0.6875,0.322581,0.32,1.041667,0.592682
5,10,10,25,0.285714,0.333333,0.333333,0.333333,0.666667,0.333333,0.3,1.111111,0.597102
4,11,10,25,0.285714,0.266667,0.285714,0.266667,0.714286,0.275862,0.28,0.952381,0.671121
4,11,9,26,0.257143,0.266667,0.307692,0.266667,0.692308,0.285714,0.26,1.025641,0.677827
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.713621
4,11,7,28,0.2,0.266667,0.363636,0.266667,0.636364,0.307692,0.22,1.212121,0.739101
3,12,7,28,0.2,0.2,0.3,0.2,0.7,0.24,0.2,1,0.788096
2,13,7,28,0.2,0.133333,0.222222,0.133333,0.777778,0.166667,0.18,0.740741,0.793196
2,13,6,29,0.171429,0.133333,0.25,0.133333,0.75,0.173913,0.16,0.833333,0.793828
2,13,5,30,0.142857,0.133333,0.285714,0.133333,0.714286,0.181818,0.14,0.952381,0.802521
2,13,4,31,0.114286,0.133333,0.333333,0.133333,0.666667,0.190476,0.12,1.111111,0.806337
2,13,3,32,0.085714,0.133333,0.4,0.133333,0.6,0.2,0.1,1.333333,0.847629
1,14,3,32,0.085714,0.066667,0.25,0.066667,0.75,0.105263,0.08,0.833333,0.900101
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.912095
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.966237
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.992682
0,15,0,35,0,0,?,0,?,?,0,?,0.992692
