@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000065
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.000272
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.002218
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.002383
15,0,31,4,0.885714,1,0.326087,1,0.673913,0.491803,0.92,1.086957,0.041967
10,5,30,5,0.857143,0.666667,0.25,0.666667,0.75,0.363636,0.8,0.833333,0.053313
10,5,29,6,0.828571,0.666667,0.25641,0.666667,0.74359,0.37037,0.78,0.854701,0.060717
9,6,29,6,0.828571,0.6,0.236842,0.6,0.763158,0.339623,0.76,0.789474,0.08243
9,6,28,7,0.8,0.6,0.243243,0.6,0.756757,0.346154,0.74,0.810811,0.131753
9,6,27,8,0.771429,0.6,0.25,0.6,0.75,0.352941,0.72,0.833333,0.175137
9,6,26,9,0.742857,0.6,0.257143,0.6,0.742857,0.36,0.7,0.857143,0.257994
9,6,25,10,0.714286,0.6,0.264706,0.6,0.735294,0.367347,0.68,0.882353,0.264466
9,6,24,11,0.685714,0.6,0.272727,0.6,0.727273,0.375,0.66,0.909091,0.268382
9,6,23,12,0.657143,0.6,0.28125,0.6,0.71875,0.382979,0.64,0.9375,0.293878
9,6,22,13,0.628571,0.6,0.290323,0.6,0.709677,0.391304,0.62,0.967742,0.319059
9,6,21,14,0.6,0.6,0.3,0.6,0.7,0.4,0.6,1,0.328096
8,7,21,14,0.6,0.533333,0.275862,0.533333,0.724138,0.363636,0.58,0.91954,0.358844
7,8,21,14,0.6,0.466667,0.25,0.466667,0.75,0.325581,0.56,0.833333,0.371287
7,8,20,15,0.571429,0.466667,0.259259,0.466667,0.740741,0.333333,0.54,0.864198,0.388755
7,8,19,16,0.542857,0.466667,0.269231,0.466667,0.730769,0.341463,0.52,0.897436,0.395736
7,8,18,17,0.514286,0.466667,0.28,0.466667,0.72,0.35,0.5,0.933333,0.437969
7,8,17,18,0.485714,0.466667,0.291667,0.466667,0.708333,0.358974,0.48,0.972222,0.448492
6,9,17,18,0.485714,0.4,0.26087,0.4,0.73913,0.315789,0.46,0.869565,0.502817
6,9,16,19,0.457143,0.4,0.272727,0.4,0.727273,0.324324,0.44,0.909091,0.529813
6,9,15,20,0.428571,0.4,0.285714,0.4,0.714286,0.333333,0.42,0.952381,0.609455
5,10,15,20,0.428571,0.333333,0.25,0.333333,0.75,0.285714,0.4,0.833333,0.626757
5,10,14,21,0.4,0.333333,0.263158,0.333333,0.736842,0.294118,0.38,0.877193,0.678691
5,10,13,22,0.371429,0.333333,0.277778,0.333333,0.722222,0.30303,0.36,0.925926,0.681513
5,10,12,23,0.342857,0.333333,0.294118,0.333333,0.705882,0.3125,0.34,0.980392,0.699292
5,10,11,24,0.314286,0.333333,0.3125,0.333333,0.6875,0.322581,0.32,1.041667,0.707156
5,10,10,25,0.285714,0.333333,0.333333,0.333333,0.666667,0.333333,0.3,1.111111,0.711254
5,10,9,26,0.257143,0.333333,0.357143,0.333333,0.642857,0.344828,0.28,1.190476,0.730149
4,11,9,26,0.257143,0.266667,0.307692,0.266667,0.692308,0.285714,0.26,1.025641,0.736616
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.738353
4,11,7,28,0.2,0.266667,0.363636,0.266667,0.636364,0.307692,0.22,1.212121,0.772992
4,11,6,29,0.171429,0.266667,0.4,0.266667,0.6,0.32,0.2,1.333333,0.825176
4,11,5,30,0.142857,0.266667,0.444444,0.266667,0.555556,0.333333,0.18,1.481481,0.892974
4,11,4,31,0.114286,0.266667,0.5,0.266667,0.5,0.347826,0.16,1.666667,0.921054
3,12,4,31,0.114286,0.2,0.428571,0.2,0.571429,0.272727,0.14,1.428571,0.931414
2,13,4,31,0.114286,0.133333,0.333333,0.133333,0.666667,0.190476,0.12,1.111111,0.933356
2,13,3,32,0.085714,0.133333,0.4,0.133333,0.6,0.2,0.1,1.333333,0.961288
1,14,3,32,0.085714,0.066667,0.25,0.066667,0.75,0.105263,0.08,0.833333,0.974284
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.987497
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.994655
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.995725
0,15,0,35,0,0,?,0,?,?,0,?,0.995735
