@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
12,0,24,0,1,1,0.333333,1,0.666667,0.5,1,1,0.00007
12,0,23,1,0.958333,1,0.342857,1,0.657143,0.510638,0.972222,1.028571,0.000517
12,0,22,2,0.916667,1,0.352941,1,0.647059,0.521739,0.944444,1.058824,0.000978
12,0,21,3,0.875,1,0.363636,1,0.636364,0.533333,0.916667,1.090909,0.006096
11,1,21,3,0.875,0.916667,0.34375,0.916667,0.65625,0.5,0.888889,1.03125,0.01108
11,1,20,4,0.833333,0.916667,0.354839,0.916667,0.645161,0.511628,0.861111,1.064516,0.012514
11,1,19,5,0.791667,0.916667,0.366667,0.916667,0.633333,0.52381,0.833333,1.1,0.030949
11,1,18,6,0.75,0.916667,0.37931,0.916667,0.62069,0.536585,0.805556,1.137931,0.035486
10,2,18,6,0.75,0.833333,0.357143,0.833333,0.642857,0.5,0.777778,1.071429,0.059194
10,2,17,7,0.708333,0.833333,0.37037,0.833333,0.62963,0.512821,0.75,1.111111,0.060522
10,2,16,8,0.666667,0.833333,0.384615,0.833333,0.615385,0.526316,0.722222,1.153846,0.066408
10,2,15,9,0.625,0.833333,0.4,0.833333,0.6,0.540541,0.694444,1.2,0.36437
10,2,14,10,0.583333,0.833333,0.416667,0.833333,0.583333,0.555556,0.666667,1.25,0.588853
10,2,13,11,0.541667,0.833333,0.434783,0.833333,0.565217,0.571429,0.638889,1.304348,0.896001
10,2,12,12,0.5,0.833333,0.454545,0.833333,0.545455,0.588235,0.611111,1.363636,0.969556
9,3,12,12,0.5,0.75,0.428571,0.75,0.571429,0.545455,0.583333,1.285714,0.984111
9,3,11,13,0.458333,0.75,0.45,0.75,0.55,0.5625,0.555556,1.35,0.999826
9,3,10,14,0.416667,0.75,0.473684,0.75,0.526316,0.580645,0.527778,1.421053,0.999965
8,4,10,14,0.416667,0.666667,0.444444,0.666667,0.555556,0.533333,0.5,1.333333,0.99999
8,4,9,15,0.375,0.666667,0.470588,0.666667,0.529412,0.551724,0.472222,1.411765,0.999994
8,4,8,16,0.333333,0.666667,0.5,0.666667,0.5,0.571429,0.444444,1.5,0.999997
8,4,7,17,0.291667,0.666667,0.533333,0.666667,0.466667,0.592593,0.416667,1.6,0.999997
8,4,6,18,0.25,0.666667,0.571429,0.666667,0.428571,0.615385,0.388889,1.714286,0.999999
8,4,5,19,0.208333,0.666667,0.615385,0.666667,0.384615,0.64,0.361111,1.846154,0.999999
8,4,4,20,0.166667,0.666667,0.666667,0.666667,0.333333,0.666667,0.333333,2,1
8,4,3,21,0.125,0.666667,0.727273,0.666667,0.272727,0.695652,0.305556,2.181818,1
7,5,3,21,0.125,0.583333,0.7,0.583333,0.3,0.636364,0.277778,2.1,1
7,5,2,22,0.083333,0.583333,0.777778,0.583333,0.222222,0.666667,0.25,2.333333,1
7,5,1,23,0.041667,0.583333,0.875,0.583333,0.125,0.7,0.222222,2.625,1
6,6,1,23,0.041667,0.5,0.857143,0.5,0.142857,0.631579,0.194444,2.571429,1
5,7,1,23,0.041667,0.416667,0.833333,0.416667,0.166667,0.555556,0.166667,2.5,1
4,8,1,23,0.041667,0.333333,0.8,0.333333,0.2,0.470588,0.138889,2.4,1
0,12,0,24,0,0,?,0,?,?,0,?,1.00001
