@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,30,0,1,1,0.333333,1,0.666667,0.5,1,1,0.000187
15,0,29,1,0.966667,1,0.340909,1,0.659091,0.508475,0.977778,1.022727,0.002938
15,0,28,2,0.933333,1,0.348837,1,0.651163,0.517241,0.955556,1.046512,0.012285
15,0,27,3,0.9,1,0.357143,1,0.642857,0.526316,0.933333,1.071429,0.031199
15,0,26,4,0.866667,1,0.365854,1,0.634146,0.535714,0.911111,1.097561,0.031443
15,0,25,5,0.833333,1,0.375,1,0.625,0.545455,0.888889,1.125,0.031451
14,1,25,5,0.833333,0.933333,0.358974,0.933333,0.641026,0.518519,0.866667,1.076923,0.049909
14,1,24,6,0.8,0.933333,0.368421,0.933333,0.631579,0.528302,0.844444,1.105263,0.063414
14,1,23,7,0.766667,0.933333,0.378378,0.933333,0.621622,0.538462,0.822222,1.135135,0.071722
14,1,22,8,0.733333,0.933333,0.388889,0.933333,0.611111,0.54902,0.8,1.166667,0.078035
14,1,21,9,0.7,0.933333,0.4,0.933333,0.6,0.56,0.777778,1.2,0.117749
14,1,20,10,0.666667,0.933333,0.411765,0.933333,0.588235,0.571429,0.755556,1.235294,0.165224
13,2,20,10,0.666667,0.866667,0.393939,0.866667,0.606061,0.541667,0.733333,1.181818,0.242004
13,2,19,11,0.633333,0.866667,0.40625,0.866667,0.59375,0.553191,0.711111,1.21875,0.340355
13,2,18,12,0.6,0.866667,0.419355,0.866667,0.580645,0.565217,0.688889,1.258065,0.376739
12,3,18,12,0.6,0.8,0.4,0.8,0.6,0.533333,0.666667,1.2,0.402679
12,3,17,13,0.566667,0.8,0.413793,0.8,0.586207,0.545455,0.644444,1.241379,0.45732
12,3,16,14,0.533333,0.8,0.428571,0.8,0.571429,0.55814,0.622222,1.285714,0.602226
11,4,16,14,0.533333,0.733333,0.407407,0.733333,0.592593,0.52381,0.6,1.222222,0.680952
11,4,15,15,0.5,0.733333,0.423077,0.733333,0.576923,0.536585,0.577778,1.269231,0.745992
11,4,14,16,0.466667,0.733333,0.44,0.733333,0.56,0.55,0.555556,1.32,0.853119
11,4,13,17,0.433333,0.733333,0.458333,0.733333,0.541667,0.564103,0.533333,1.375,0.858752
11,4,12,18,0.4,0.733333,0.478261,0.733333,0.521739,0.578947,0.511111,1.434783,0.862517
11,4,11,19,0.366667,0.733333,0.5,0.733333,0.5,0.594595,0.488889,1.5,0.868147
11,4,10,20,0.333333,0.733333,0.52381,0.733333,0.47619,0.611111,0.466667,1.571429,0.907397
11,4,9,21,0.3,0.733333,0.55,0.733333,0.45,0.628571,0.444444,1.65,0.945423
11,4,8,22,0.266667,0.733333,0.578947,0.733333,0.421053,0.647059,0.422222,1.736842,0.946691
11,4,7,23,0.233333,0.733333,0.611111,0.733333,0.388889,0.666667,0.4,1.833333,0.948418
11,4,6,24,0.2,0.733333,0.647059,0.733333,0.352941,0.6875,0.377778,1.941176,0.952473
11,4,5,25,0.166667,0.733333,0.6875,0.733333,0.3125,0.709677,0.355556,2.0625,0.967199
6,9,4,26,0.133333,0.4,0.6,0.4,0.4,0.48,0.222222,1.8,0.972661
6,9,3,27,0.1,0.4,0.666667,0.4,0.333333,0.5,0.2,2,0.98128
5,10,3,27,0.1,0.333333,0.625,0.333333,0.375,0.434783,0.177778,1.875,0.987907
4,11,3,27,0.1,0.266667,0.571429,0.266667,0.428571,0.363636,0.155556,1.714286,0.987935
4,11,2,28,0.066667,0.266667,0.666667,0.266667,0.333333,0.380952,0.133333,2,0.992881
3,12,2,28,0.066667,0.2,0.6,0.2,0.4,0.3,0.111111,1.8,0.994322
2,13,2,28,0.066667,0.133333,0.5,0.133333,0.5,0.210526,0.088889,1.5,0.996374
2,13,1,29,0.033333,0.133333,0.666667,0.133333,0.333333,0.222222,0.066667,2,0.997084
2,13,0,30,0,0.133333,1,0.133333,0,0.235294,0.044444,?,0.998342
1,14,0,30,0,0.066667,1,0.066667,0,0.125,0.022222,?,0.998707
0,15,0,30,0,0,?,0,?,?,0,?,0.998717
