@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.025092
10,5,30,5,0.857143,0.666667,0.25,0.666667,0.75,0.363636,0.8,0.833333,0.20862
10,5,29,6,0.828571,0.666667,0.25641,0.666667,0.74359,0.37037,0.78,0.854701,0.306938
9,6,29,6,0.828571,0.6,0.236842,0.6,0.763158,0.339623,0.76,0.789474,0.385102
8,7,29,6,0.828571,0.533333,0.216216,0.533333,0.783784,0.307692,0.74,0.720721,0.430863
8,7,28,7,0.8,0.533333,0.222222,0.533333,0.777778,0.313725,0.72,0.740741,0.556063
7,8,26,9,0.742857,0.466667,0.212121,0.466667,0.787879,0.291667,0.66,0.707071,0.585605
6,9,24,11,0.685714,0.4,0.2,0.4,0.8,0.266667,0.6,0.666667,0.607231
5,10,24,11,0.685714,0.333333,0.172414,0.333333,0.827586,0.227273,0.58,0.574713,0.623124
5,10,23,12,0.657143,0.333333,0.178571,0.333333,0.821429,0.232558,0.56,0.595238,0.629051
4,11,22,13,0.628571,0.266667,0.153846,0.266667,0.846154,0.195122,0.52,0.512821,0.651425
4,11,21,14,0.6,0.266667,0.16,0.266667,0.84,0.2,0.5,0.533333,0.703625
3,12,19,16,0.542857,0.2,0.136364,0.2,0.863636,0.162162,0.44,0.454545,0.717807
3,12,18,17,0.514286,0.2,0.142857,0.2,0.857143,0.166667,0.42,0.47619,0.738652
2,13,14,21,0.4,0.133333,0.125,0.133333,0.875,0.129032,0.32,0.416667,0.826033
2,13,4,31,0.114286,0.133333,0.333333,0.133333,0.666667,0.190476,0.12,1.111111,0.830044
1,14,4,31,0.114286,0.066667,0.2,0.066667,0.8,0.1,0.1,0.666667,0.90713
0,15,0,35,0,0,?,0,?,?,0,?,0.90714
