@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0
15,0,28,7,0.8,1,0.348837,1,0.651163,0.517241,0.86,1.162791,0.110538
15,0,27,8,0.771429,1,0.357143,1,0.642857,0.526316,0.84,1.190476,0.171355
14,1,25,10,0.714286,0.933333,0.358974,0.933333,0.641026,0.518519,0.78,1.196581,0.191059
13,2,24,11,0.685714,0.866667,0.351351,0.866667,0.648649,0.5,0.74,1.171171,0.214691
13,2,23,12,0.657143,0.866667,0.361111,0.866667,0.638889,0.509804,0.72,1.203704,0.24376
12,3,22,13,0.628571,0.8,0.352941,0.8,0.647059,0.489796,0.68,1.176471,0.251876
12,3,20,15,0.571429,0.8,0.375,0.8,0.625,0.510638,0.64,1.25,0.280946
12,3,19,16,0.542857,0.8,0.387097,0.8,0.612903,0.521739,0.62,1.290323,0.304577
12,3,18,17,0.514286,0.8,0.4,0.8,0.6,0.533333,0.6,1.333333,0.437108
11,4,18,17,0.514286,0.733333,0.37931,0.733333,0.62069,0.5,0.58,1.264368,0.46074
11,4,16,19,0.457143,0.733333,0.407407,0.733333,0.592593,0.52381,0.54,1.358025,0.489809
10,5,15,20,0.428571,0.666667,0.4,0.666667,0.6,0.5,0.5,1.333333,0.497925
10,5,14,21,0.4,0.666667,0.416667,0.666667,0.583333,0.512821,0.48,1.388889,0.541261
9,6,12,23,0.342857,0.6,0.428571,0.6,0.571429,0.5,0.42,1.428571,0.550626
9,6,11,24,0.314286,0.6,0.45,0.6,0.55,0.514286,0.4,1.5,0.570331
4,11,10,25,0.285714,0.266667,0.285714,0.266667,0.714286,0.275862,0.28,0.952381,0.593962
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.631148
2,13,8,27,0.228571,0.133333,0.2,0.133333,0.8,0.16,0.2,0.666667,0.78731
2,13,4,31,0.114286,0.133333,0.333333,0.133333,0.666667,0.190476,0.12,1.111111,0.81638
1,14,3,32,0.085714,0.066667,0.25,0.066667,0.75,0.105263,0.08,0.833333,0.840011
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.877197
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.920533
0,15,0,35,0,0,?,0,?,?,0,?,0.920543
