@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,30,0,1,1,0.333333,1,0.666667,0.5,1,1,0
13,2,25,5,0.833333,0.866667,0.342105,0.866667,0.657895,0.490566,0.844444,1.026316,0.036928
13,2,24,6,0.8,0.866667,0.351351,0.866667,0.648649,0.5,0.822222,1.054054,0.219471
13,2,21,9,0.7,0.866667,0.382353,0.866667,0.617647,0.530612,0.755556,1.147059,0.369526
13,2,20,10,0.666667,0.866667,0.393939,0.866667,0.606061,0.541667,0.733333,1.181818,0.460646
13,2,19,11,0.633333,0.866667,0.40625,0.866667,0.59375,0.553191,0.711111,1.21875,0.477226
13,2,18,12,0.6,0.866667,0.419355,0.866667,0.580645,0.565217,0.688889,1.258065,0.492355
13,2,17,13,0.566667,0.866667,0.433333,0.866667,0.566667,0.577778,0.666667,1.3,0.557484
12,3,17,13,0.566667,0.8,0.413793,0.8,0.586207,0.545455,0.644444,1.241379,0.664035
6,9,15,15,0.5,0.4,0.285714,0.4,0.714286,0.333333,0.466667,0.857143,0.741605
5,10,15,15,0.5,0.333333,0.25,0.333333,0.75,0.285714,0.444444,0.75,0.798797
4,11,12,18,0.4,0.266667,0.25,0.266667,0.75,0.258065,0.355556,0.75,0.808773
4,11,11,19,0.366667,0.266667,0.266667,0.266667,0.733333,0.266667,0.333333,0.8,0.941536
3,12,11,19,0.366667,0.2,0.214286,0.2,0.785714,0.206897,0.311111,0.642857,0.958556
3,12,10,20,0.333333,0.2,0.230769,0.2,0.769231,0.214286,0.288889,0.692308,1
0,15,0,30,0,0,?,0,?,?,0,?,1.00001
