@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
14,0,26,0,1,1,0.35,1,0.65,0.518519,1,1,0.000007
14,0,25,1,0.961538,1,0.358974,1,0.641026,0.528302,0.975,1.025641,0.000014
14,0,24,2,0.923077,1,0.368421,1,0.631579,0.538462,0.95,1.052632,0.000025
14,0,23,3,0.884615,1,0.378378,1,0.621622,0.54902,0.925,1.081081,0.000029
14,0,22,4,0.846154,1,0.388889,1,0.611111,0.56,0.9,1.111111,0.000038
13,1,22,4,0.846154,0.928571,0.371429,0.928571,0.628571,0.530612,0.875,1.061224,0.000038
12,2,22,4,0.846154,0.857143,0.352941,0.857143,0.647059,0.5,0.85,1.008403,0.000053
12,2,21,5,0.807692,0.857143,0.363636,0.857143,0.636364,0.510638,0.825,1.038961,0.000055
12,2,20,6,0.769231,0.857143,0.375,0.857143,0.625,0.521739,0.8,1.071429,0.000209
12,2,19,7,0.730769,0.857143,0.387097,0.857143,0.612903,0.533333,0.775,1.105991,0.000248
12,2,18,8,0.692308,0.857143,0.4,0.857143,0.6,0.545455,0.75,1.142857,0.00027
12,2,17,9,0.653846,0.857143,0.413793,0.857143,0.586207,0.55814,0.725,1.182266,0.000327
12,2,16,10,0.615385,0.857143,0.428571,0.857143,0.571429,0.571429,0.7,1.22449,0.001502
12,2,15,11,0.576923,0.857143,0.444444,0.857143,0.555556,0.585366,0.675,1.269841,0.003454
12,2,14,12,0.538462,0.857143,0.461538,0.857143,0.538462,0.6,0.65,1.318681,0.013049
12,2,13,13,0.5,0.857143,0.48,0.857143,0.52,0.615385,0.625,1.371429,0.016749
12,2,12,14,0.461538,0.857143,0.5,0.857143,0.5,0.631579,0.6,1.428571,0.017297
12,2,11,15,0.423077,0.857143,0.521739,0.857143,0.478261,0.648649,0.575,1.490683,0.053371
11,3,11,15,0.423077,0.785714,0.5,0.785714,0.5,0.611111,0.55,1.428571,0.092503
11,3,10,16,0.384615,0.785714,0.52381,0.785714,0.47619,0.628571,0.525,1.496599,0.134782
11,3,9,17,0.346154,0.785714,0.55,0.785714,0.45,0.647059,0.5,1.571429,0.196871
11,3,8,18,0.307692,0.785714,0.578947,0.785714,0.421053,0.666667,0.475,1.654135,0.336655
11,3,7,19,0.269231,0.785714,0.611111,0.785714,0.388889,0.6875,0.45,1.746032,0.883444
11,3,6,20,0.230769,0.785714,0.647059,0.785714,0.352941,0.709677,0.425,1.848739,0.981932
11,3,5,21,0.192308,0.785714,0.6875,0.785714,0.3125,0.733333,0.4,1.964286,0.983891
11,3,4,22,0.153846,0.785714,0.733333,0.785714,0.266667,0.758621,0.375,2.095238,0.988411
10,4,4,22,0.153846,0.714286,0.714286,0.714286,0.285714,0.714286,0.35,2.040816,0.990336
10,4,3,23,0.115385,0.714286,0.769231,0.714286,0.230769,0.740741,0.325,2.197802,0.991587
10,4,2,24,0.076923,0.714286,0.833333,0.714286,0.166667,0.769231,0.3,2.380952,0.995945
10,4,1,25,0.038462,0.714286,0.909091,0.714286,0.090909,0.8,0.275,2.597403,0.998175
9,5,1,25,0.038462,0.642857,0.9,0.642857,0.1,0.75,0.25,2.571429,0.998234
8,6,1,25,0.038462,0.571429,0.888889,0.571429,0.111111,0.695652,0.225,2.539683,0.999792
7,7,1,25,0.038462,0.5,0.875,0.5,0.125,0.636364,0.2,2.5,0.999845
2,12,0,26,0,0.142857,1,0.142857,0,0.25,0.05,?,0.999905
1,13,0,26,0,0.071429,1,0.071429,0,0.133333,0.025,?,0.999958
0,14,0,26,0,0,?,0,?,?,0,?,0.999968
