@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.015308
14,1,35,0,1,0.933333,0.285714,0.933333,0.714286,0.4375,0.98,0.952381,0.017357
13,2,33,2,0.942857,0.866667,0.282609,0.866667,0.717391,0.42623,0.92,0.942029,0.024458
12,3,33,2,0.942857,0.8,0.266667,0.8,0.733333,0.4,0.9,0.888889,0.048532
12,3,32,3,0.914286,0.8,0.272727,0.8,0.727273,0.40678,0.88,0.909091,0.109186
11,4,30,5,0.857143,0.733333,0.268293,0.733333,0.731707,0.392857,0.82,0.894309,0.123737
11,4,29,6,0.828571,0.733333,0.275,0.733333,0.725,0.4,0.8,0.916667,0.195186
6,9,24,11,0.685714,0.4,0.2,0.4,0.8,0.266667,0.6,0.666667,0.27807
5,10,24,11,0.685714,0.333333,0.172414,0.333333,0.827586,0.227273,0.58,0.574713,0.56932
5,10,23,12,0.657143,0.333333,0.178571,0.333333,0.821429,0.232558,0.56,0.595238,0.742029
5,10,22,13,0.628571,0.333333,0.185185,0.333333,0.814815,0.238095,0.54,0.617284,0.809835
5,10,21,14,0.6,0.333333,0.192308,0.333333,0.807692,0.243902,0.52,0.641026,0.836183
4,11,18,17,0.514286,0.266667,0.181818,0.266667,0.818182,0.216216,0.44,0.606061,0.855485
3,12,18,17,0.514286,0.2,0.142857,0.2,0.857143,0.166667,0.42,0.47619,0.858173
2,13,18,17,0.514286,0.133333,0.1,0.133333,0.9,0.114286,0.4,0.333333,0.91773
1,14,17,18,0.485714,0.066667,0.055556,0.066667,0.944444,0.060606,0.36,0.185185,0.921638
1,14,15,20,0.428571,0.066667,0.0625,0.066667,0.9375,0.064516,0.32,0.208333,0.929305
1,14,6,29,0.171429,0.066667,0.142857,0.066667,0.857143,0.090909,0.14,0.47619,0.972888
0,15,4,31,0.114286,0,0,0,1,?,0.08,0,0.984603
0,15,3,32,0.085714,0,0,0,1,?,0.06,?,0.987513
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.988962
0,15,0,35,0,0,?,0,?,?,0,?,0.988972
