@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000984
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.002641
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.005982
14,1,33,2,0.942857,0.933333,0.297872,0.933333,0.702128,0.451613,0.94,0.992908,0.011536
14,1,32,3,0.914286,0.933333,0.304348,0.933333,0.695652,0.459016,0.92,1.014493,0.042261
13,2,32,3,0.914286,0.866667,0.288889,0.866667,0.711111,0.433333,0.9,0.962963,0.055014
13,2,31,4,0.885714,0.866667,0.295455,0.866667,0.704545,0.440678,0.88,0.984848,0.087325
13,2,30,5,0.857143,0.866667,0.302326,0.866667,0.697674,0.448276,0.86,1.007752,0.128914
13,2,29,6,0.828571,0.866667,0.309524,0.866667,0.690476,0.45614,0.84,1.031746,0.150095
8,7,27,8,0.771429,0.533333,0.228571,0.533333,0.771429,0.32,0.7,0.761905,0.163778
8,7,26,9,0.742857,0.533333,0.235294,0.533333,0.764706,0.326531,0.68,0.784314,0.305316
8,7,25,10,0.714286,0.533333,0.242424,0.533333,0.757576,0.333333,0.66,0.808081,0.373031
8,7,24,11,0.685714,0.533333,0.25,0.533333,0.75,0.340426,0.64,0.833333,0.520532
8,7,23,12,0.657143,0.533333,0.258065,0.533333,0.741935,0.347826,0.62,0.860215,0.557849
8,7,22,13,0.628571,0.533333,0.266667,0.533333,0.733333,0.355556,0.6,0.888889,0.67698
8,7,21,14,0.6,0.533333,0.275862,0.533333,0.724138,0.363636,0.58,0.91954,0.779337
8,7,20,15,0.571429,0.533333,0.285714,0.533333,0.714286,0.372093,0.56,0.952381,0.824147
7,8,20,15,0.571429,0.466667,0.259259,0.466667,0.740741,0.333333,0.54,0.864198,0.882366
7,8,19,16,0.542857,0.466667,0.269231,0.466667,0.730769,0.341463,0.52,0.897436,0.887494
7,8,18,17,0.514286,0.466667,0.28,0.466667,0.72,0.35,0.5,0.933333,0.887496
7,8,17,18,0.485714,0.466667,0.291667,0.466667,0.708333,0.358974,0.48,0.972222,0.899359
6,9,17,18,0.485714,0.4,0.26087,0.4,0.73913,0.315789,0.46,0.869565,0.902552
6,9,16,19,0.457143,0.4,0.272727,0.4,0.727273,0.324324,0.44,0.909091,0.919748
6,9,15,20,0.428571,0.4,0.285714,0.4,0.714286,0.333333,0.42,0.952381,0.926777
5,10,15,20,0.428571,0.333333,0.25,0.333333,0.75,0.285714,0.4,0.833333,0.9489
4,11,15,20,0.428571,0.266667,0.210526,0.266667,0.789474,0.235294,0.38,0.701754,0.951184
4,11,14,21,0.4,0.266667,0.222222,0.266667,0.777778,0.242424,0.36,0.740741,0.95507
3,12,14,21,0.4,0.2,0.176471,0.2,0.823529,0.1875,0.34,0.588235,0.963869
3,12,13,22,0.371429,0.2,0.1875,0.2,0.8125,0.193548,0.32,0.625,0.968457
3,12,12,23,0.342857,0.2,0.2,0.2,0.8,0.2,0.3,0.666667,0.971011
3,12,11,24,0.314286,0.2,0.214286,0.2,0.785714,0.206897,0.28,0.714286,0.977198
3,12,10,25,0.285714,0.2,0.230769,0.2,0.769231,0.214286,0.26,0.769231,0.995824
3,12,9,26,0.257143,0.2,0.25,0.2,0.75,0.222222,0.24,0.833333,0.996392
3,12,8,27,0.228571,0.2,0.272727,0.2,0.727273,0.230769,0.22,0.909091,0.996526
3,12,7,28,0.2,0.2,0.3,0.2,0.7,0.24,0.2,1,0.996868
2,13,5,30,0.142857,0.133333,0.285714,0.133333,0.714286,0.181818,0.14,0.952381,0.998201
2,13,4,31,0.114286,0.133333,0.333333,0.133333,0.666667,0.190476,0.12,1.111111,0.99857
2,13,2,33,0.057143,0.133333,0.5,0.133333,0.5,0.210526,0.08,1.666667,0.999192
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.999691
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.999743
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.999771
0,15,0,35,0,0,?,0,?,?,0,?,0.999781
