@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.011987
14,1,34,1,0.971429,0.933333,0.291667,0.933333,0.708333,0.444444,0.96,0.972222,0.015252
13,2,34,1,0.971429,0.866667,0.276596,0.866667,0.723404,0.419355,0.94,0.921986,0.043037
12,3,34,1,0.971429,0.8,0.26087,0.8,0.73913,0.393443,0.92,0.869565,0.201309
7,8,29,6,0.828571,0.466667,0.194444,0.466667,0.805556,0.27451,0.72,0.648148,0.398607
7,8,28,7,0.8,0.466667,0.2,0.466667,0.8,0.28,0.7,0.666667,0.408978
6,9,28,7,0.8,0.4,0.176471,0.4,0.823529,0.244898,0.68,0.588235,0.51255
5,10,27,8,0.771429,0.333333,0.15625,0.333333,0.84375,0.212766,0.64,0.520833,0.539473
5,10,25,10,0.714286,0.333333,0.166667,0.333333,0.833333,0.222222,0.6,0.555556,0.651502
5,10,24,11,0.685714,0.333333,0.172414,0.333333,0.827586,0.227273,0.58,0.574713,0.653071
5,10,23,12,0.657143,0.333333,0.178571,0.333333,0.821429,0.232558,0.56,0.595238,0.674215
5,10,22,13,0.628571,0.333333,0.185185,0.333333,0.814815,0.238095,0.54,0.617284,0.732875
5,10,21,14,0.6,0.333333,0.192308,0.333333,0.807692,0.243902,0.52,0.641026,0.872151
4,11,21,14,0.6,0.266667,0.16,0.266667,0.84,0.2,0.5,0.533333,0.952989
4,11,18,17,0.514286,0.266667,0.181818,0.266667,0.818182,0.216216,0.44,0.606061,0.960136
4,11,17,18,0.485714,0.266667,0.190476,0.266667,0.809524,0.222222,0.42,0.634921,0.963288
4,11,15,20,0.428571,0.266667,0.210526,0.266667,0.789474,0.235294,0.38,0.701754,0.96695
4,11,14,21,0.4,0.266667,0.222222,0.266667,0.777778,0.242424,0.36,0.740741,0.969603
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.969686
4,11,7,28,0.2,0.266667,0.363636,0.266667,0.636364,0.307692,0.22,1.212121,0.986593
3,12,7,28,0.2,0.2,0.3,0.2,0.7,0.24,0.2,1,0.9932
3,12,6,29,0.171429,0.2,0.333333,0.2,0.666667,0.25,0.18,1.111111,0.993771
2,13,6,29,0.171429,0.133333,0.25,0.133333,0.75,0.173913,0.16,0.833333,0.994181
1,14,3,32,0.085714,0.066667,0.25,0.066667,0.75,0.105263,0.08,0.833333,0.994816
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.997224
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.999473
0,15,0,35,0,0,?,0,?,?,0,?,0.999483
