@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000006
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.000006
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.000029
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.000031
15,0,31,4,0.885714,1,0.326087,1,0.673913,0.491803,0.92,1.086957,0.000035
15,0,30,5,0.857143,1,0.333333,1,0.666667,0.5,0.9,1.111111,0.000038
15,0,29,6,0.828571,1,0.340909,1,0.659091,0.508475,0.88,1.136364,0.000051
15,0,28,7,0.8,1,0.348837,1,0.651163,0.517241,0.86,1.162791,0.000065
14,1,28,7,0.8,0.933333,0.333333,0.933333,0.666667,0.491228,0.84,1.111111,0.000071
14,1,27,8,0.771429,0.933333,0.341463,0.933333,0.658537,0.5,0.82,1.138211,0.000071
14,1,26,9,0.742857,0.933333,0.35,0.933333,0.65,0.509091,0.8,1.166667,0.000081
14,1,25,10,0.714286,0.933333,0.358974,0.933333,0.641026,0.518519,0.78,1.196581,0.000085
14,1,24,11,0.685714,0.933333,0.368421,0.933333,0.631579,0.528302,0.76,1.22807,0.000085
13,2,24,11,0.685714,0.866667,0.351351,0.866667,0.648649,0.5,0.74,1.171171,0.00009
13,2,23,12,0.657143,0.866667,0.361111,0.866667,0.638889,0.509804,0.72,1.203704,0.000315
13,2,22,13,0.628571,0.866667,0.371429,0.866667,0.628571,0.52,0.7,1.238095,0.0004
13,2,21,14,0.6,0.866667,0.382353,0.866667,0.617647,0.530612,0.68,1.27451,0.000616
13,2,20,15,0.571429,0.866667,0.393939,0.866667,0.606061,0.541667,0.66,1.313131,0.005438
13,2,19,16,0.542857,0.866667,0.40625,0.866667,0.59375,0.553191,0.64,1.354167,0.00596
13,2,18,17,0.514286,0.866667,0.419355,0.866667,0.580645,0.565217,0.62,1.397849,0.006995
13,2,17,18,0.485714,0.866667,0.433333,0.866667,0.566667,0.577778,0.6,1.444444,0.009224
13,2,16,19,0.457143,0.866667,0.448276,0.866667,0.551724,0.590909,0.58,1.494253,0.014202
8,7,15,20,0.428571,0.533333,0.347826,0.533333,0.652174,0.421053,0.46,1.15942,0.015407
8,7,14,21,0.4,0.533333,0.363636,0.533333,0.636364,0.432432,0.44,1.212121,0.016189
8,7,13,22,0.371429,0.533333,0.380952,0.533333,0.619048,0.444444,0.42,1.269841,0.022213
8,7,12,23,0.342857,0.533333,0.4,0.533333,0.6,0.457143,0.4,1.333333,0.041261
8,7,11,24,0.314286,0.533333,0.421053,0.533333,0.578947,0.470588,0.38,1.403509,0.065838
8,7,10,25,0.285714,0.533333,0.444444,0.533333,0.555556,0.484848,0.36,1.481481,0.115203
8,7,9,26,0.257143,0.533333,0.470588,0.533333,0.529412,0.5,0.34,1.568627,0.200528
8,7,8,27,0.228571,0.533333,0.5,0.533333,0.5,0.516129,0.32,1.666667,0.432216
7,8,8,27,0.228571,0.466667,0.466667,0.466667,0.533333,0.466667,0.3,1.555556,0.506173
7,8,7,28,0.2,0.466667,0.5,0.466667,0.5,0.482759,0.28,1.666667,0.687134
7,8,6,29,0.171429,0.466667,0.538462,0.466667,0.461538,0.5,0.26,1.794872,0.836903
7,8,5,30,0.142857,0.466667,0.583333,0.466667,0.416667,0.518519,0.24,1.944444,0.842721
6,9,5,30,0.142857,0.4,0.545455,0.4,0.454545,0.461538,0.22,1.818182,0.860055
6,9,4,31,0.114286,0.4,0.6,0.4,0.4,0.48,0.2,2,0.951127
6,9,3,32,0.085714,0.4,0.666667,0.4,0.333333,0.5,0.18,2.222222,0.976686
6,9,2,33,0.057143,0.4,0.75,0.4,0.25,0.521739,0.16,2.5,0.982581
5,10,2,33,0.057143,0.333333,0.714286,0.333333,0.285714,0.454545,0.14,2.380952,0.984238
4,11,2,33,0.057143,0.266667,0.666667,0.266667,0.333333,0.380952,0.12,2.222222,0.985603
4,11,1,34,0.028571,0.266667,0.8,0.266667,0.2,0.4,0.1,2.666667,0.994702
3,12,1,34,0.028571,0.2,0.75,0.2,0.25,0.315789,0.08,2.5,0.999288
2,13,1,34,0.028571,0.133333,0.666667,0.133333,0.333333,0.222222,0.06,?,0.999793
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.999901
1,14,0,35,0,0.066667,1,0.066667,0,0.125,0.02,?,0.999902
0,15,0,35,0,0,?,0,?,?,0,?,0.999912
