@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.001214
14,1,35,0,1,0.933333,0.285714,0.933333,0.714286,0.4375,0.98,0.952381,0.025028
13,2,33,2,0.942857,0.866667,0.282609,0.866667,0.717391,0.42623,0.92,0.942029,0.02909
12,3,33,2,0.942857,0.8,0.266667,0.8,0.733333,0.4,0.9,0.888889,0.042939
12,3,32,3,0.914286,0.8,0.272727,0.8,0.727273,0.40678,0.88,0.909091,0.08293
11,4,32,3,0.914286,0.733333,0.255814,0.733333,0.744186,0.37931,0.86,0.852713,0.192644
6,9,27,8,0.771429,0.4,0.181818,0.4,0.818182,0.25,0.66,0.606061,0.258709
6,9,26,9,0.742857,0.4,0.1875,0.4,0.8125,0.255319,0.64,0.625,0.326865
6,9,25,10,0.714286,0.4,0.193548,0.4,0.806452,0.26087,0.62,0.645161,0.654765
6,9,24,11,0.685714,0.4,0.2,0.4,0.8,0.266667,0.6,0.666667,0.734308
6,9,14,21,0.4,0.4,0.3,0.4,0.7,0.342857,0.4,1,0.736495
5,10,12,23,0.342857,0.333333,0.294118,0.333333,0.705882,0.3125,0.34,0.980392,0.81299
4,11,10,25,0.285714,0.266667,0.285714,0.266667,0.714286,0.275862,0.28,0.952381,0.97376
3,12,6,29,0.171429,0.2,0.333333,0.2,0.666667,0.25,0.18,1.111111,0.98316
2,13,6,29,0.171429,0.133333,0.25,0.133333,0.75,0.173913,0.16,0.833333,0.992837
2,13,5,30,0.142857,0.133333,0.285714,0.133333,0.714286,0.181818,0.14,0.952381,0.994562
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.997416
0,15,0,35,0,0,?,0,?,?,0,?,0.997426
