@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000006
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.000007
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.000011
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.000072
15,0,31,4,0.885714,1,0.326087,1,0.673913,0.491803,0.92,1.086957,0.000104
15,0,30,5,0.857143,1,0.333333,1,0.666667,0.5,0.9,1.111111,0.00011
14,1,30,5,0.857143,0.933333,0.318182,0.933333,0.681818,0.474576,0.88,1.060606,0.000162
14,1,29,6,0.828571,0.933333,0.325581,0.933333,0.674419,0.482759,0.86,1.085271,0.000298
14,1,28,7,0.8,0.933333,0.333333,0.933333,0.666667,0.491228,0.84,1.111111,0.000327
14,1,27,8,0.771429,0.933333,0.341463,0.933333,0.658537,0.5,0.82,1.138211,0.000397
13,2,27,8,0.771429,0.866667,0.325,0.866667,0.675,0.472727,0.8,1.083333,0.000436
13,2,26,9,0.742857,0.866667,0.333333,0.866667,0.666667,0.481481,0.78,1.111111,0.000549
13,2,25,10,0.714286,0.866667,0.342105,0.866667,0.657895,0.490566,0.76,1.140351,0.000877
13,2,24,11,0.685714,0.866667,0.351351,0.866667,0.648649,0.5,0.74,1.171171,0.002041
13,2,23,12,0.657143,0.866667,0.361111,0.866667,0.638889,0.509804,0.72,1.203704,0.002831
13,2,22,13,0.628571,0.866667,0.371429,0.866667,0.628571,0.52,0.7,1.238095,0.005166
13,2,21,14,0.6,0.866667,0.382353,0.866667,0.617647,0.530612,0.68,1.27451,0.006026
13,2,20,15,0.571429,0.866667,0.393939,0.866667,0.606061,0.541667,0.66,1.313131,0.00918
13,2,19,16,0.542857,0.866667,0.40625,0.866667,0.59375,0.553191,0.64,1.354167,0.015575
8,7,18,17,0.514286,0.533333,0.307692,0.533333,0.692308,0.390244,0.52,1.025641,0.020888
8,7,17,18,0.485714,0.533333,0.32,0.533333,0.68,0.4,0.5,1.066667,0.026558
8,7,16,19,0.457143,0.533333,0.333333,0.533333,0.666667,0.410256,0.48,1.111111,0.03492
8,7,15,20,0.428571,0.533333,0.347826,0.533333,0.652174,0.421053,0.46,1.15942,0.066257
8,7,14,21,0.4,0.533333,0.363636,0.533333,0.636364,0.432432,0.44,1.212121,0.086097
8,7,13,22,0.371429,0.533333,0.380952,0.533333,0.619048,0.444444,0.42,1.269841,0.111752
8,7,12,23,0.342857,0.533333,0.4,0.533333,0.6,0.457143,0.4,1.333333,0.189034
8,7,11,24,0.314286,0.533333,0.421053,0.533333,0.578947,0.470588,0.38,1.403509,0.259565
8,7,10,25,0.285714,0.533333,0.444444,0.533333,0.555556,0.484848,0.36,1.481481,0.384851
8,7,9,26,0.257143,0.533333,0.470588,0.533333,0.529412,0.5,0.34,1.568627,0.423751
8,7,8,27,0.228571,0.533333,0.5,0.533333,0.5,0.516129,0.32,1.666667,0.56146
7,8,8,27,0.228571,0.466667,0.466667,0.466667,0.533333,0.466667,0.3,1.555556,0.588571
6,9,8,27,0.228571,0.4,0.428571,0.4,0.571429,0.413793,0.28,1.428571,0.700144
6,9,7,28,0.2,0.4,0.461538,0.4,0.538462,0.428571,0.26,1.538462,0.721636
6,9,6,29,0.171429,0.4,0.5,0.4,0.5,0.444444,0.24,1.666667,0.802329
6,9,5,30,0.142857,0.4,0.545455,0.4,0.454545,0.461538,0.22,1.818182,0.846081
6,9,4,31,0.114286,0.4,0.6,0.4,0.4,0.48,0.2,2,0.96166
5,10,4,31,0.114286,0.333333,0.555556,0.333333,0.444444,0.416667,0.18,1.851852,0.987038
4,11,4,31,0.114286,0.266667,0.5,0.266667,0.5,0.347826,0.16,1.666667,0.987922
3,12,4,31,0.114286,0.2,0.428571,0.2,0.571429,0.272727,0.14,1.428571,0.991903
3,12,3,32,0.085714,0.2,0.5,0.2,0.5,0.285714,0.12,1.666667,0.991919
3,12,2,33,0.057143,0.2,0.6,0.2,0.4,0.3,0.1,2,0.995431
3,12,1,34,0.028571,0.2,0.75,0.2,0.25,0.315789,0.08,2.5,0.995895
2,13,1,34,0.028571,0.133333,0.666667,0.133333,0.333333,0.222222,0.06,?,0.997764
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.999779
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.999829
0,15,0,35,0,0,?,0,?,?,0,?,0.999839
