@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.000109
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.00017
15,0,33,2,0.942857,1,0.3125,1,0.6875,0.47619,0.96,1.041667,0.000902
15,0,32,3,0.914286,1,0.319149,1,0.680851,0.483871,0.94,1.06383,0.000906
15,0,31,4,0.885714,1,0.326087,1,0.673913,0.491803,0.92,1.086957,0.001491
15,0,30,5,0.857143,1,0.333333,1,0.666667,0.5,0.9,1.111111,0.001949
14,1,30,5,0.857143,0.933333,0.318182,0.933333,0.681818,0.474576,0.88,1.060606,0.002269
14,1,29,6,0.828571,0.933333,0.325581,0.933333,0.674419,0.482759,0.86,1.085271,0.004278
14,1,28,7,0.8,0.933333,0.333333,0.933333,0.666667,0.491228,0.84,1.111111,0.00557
14,1,27,8,0.771429,0.933333,0.341463,0.933333,0.658537,0.5,0.82,1.138211,0.00657
14,1,26,9,0.742857,0.933333,0.35,0.933333,0.65,0.509091,0.8,1.166667,0.011288
14,1,25,10,0.714286,0.933333,0.358974,0.933333,0.641026,0.518519,0.78,1.196581,0.015901
9,6,24,11,0.685714,0.6,0.272727,0.6,0.727273,0.375,0.66,0.909091,0.021159
9,6,23,12,0.657143,0.6,0.28125,0.6,0.71875,0.382979,0.64,0.9375,0.030001
9,6,22,13,0.628571,0.6,0.290323,0.6,0.709677,0.391304,0.62,0.967742,0.037644
9,6,21,14,0.6,0.6,0.3,0.6,0.7,0.4,0.6,1,0.039314
8,7,21,14,0.6,0.533333,0.275862,0.533333,0.724138,0.363636,0.58,0.91954,0.053656
8,7,20,15,0.571429,0.533333,0.285714,0.533333,0.714286,0.372093,0.56,0.952381,0.131046
8,7,19,16,0.542857,0.533333,0.296296,0.533333,0.703704,0.380952,0.54,0.987654,0.15575
8,7,18,17,0.514286,0.533333,0.307692,0.533333,0.692308,0.390244,0.52,1.025641,0.22945
8,7,17,18,0.485714,0.533333,0.32,0.533333,0.68,0.4,0.5,1.066667,0.255585
8,7,16,19,0.457143,0.533333,0.333333,0.533333,0.666667,0.410256,0.48,1.111111,0.268493
8,7,15,20,0.428571,0.533333,0.347826,0.533333,0.652174,0.421053,0.46,1.15942,0.488053
8,7,14,21,0.4,0.533333,0.363636,0.533333,0.636364,0.432432,0.44,1.212121,0.496974
8,7,13,22,0.371429,0.533333,0.380952,0.533333,0.619048,0.444444,0.42,1.269841,0.573727
7,8,13,22,0.371429,0.466667,0.35,0.466667,0.65,0.4,0.4,1.166667,0.625582
7,8,12,23,0.342857,0.466667,0.368421,0.466667,0.631579,0.411765,0.38,1.22807,0.810088
7,8,11,24,0.314286,0.466667,0.388889,0.466667,0.611111,0.424242,0.36,1.296296,0.833363
6,9,11,24,0.314286,0.4,0.352941,0.4,0.647059,0.375,0.34,1.176471,0.882924
6,9,10,25,0.285714,0.4,0.375,0.4,0.625,0.387097,0.32,1.25,0.886032
6,9,9,26,0.257143,0.4,0.4,0.4,0.6,0.4,0.3,1.333333,0.956682
5,10,9,26,0.257143,0.333333,0.357143,0.333333,0.642857,0.344828,0.28,1.190476,0.968373
4,11,9,26,0.257143,0.266667,0.307692,0.266667,0.692308,0.285714,0.26,1.025641,0.976914
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.998653
4,11,7,28,0.2,0.266667,0.363636,0.266667,0.636364,0.307692,0.22,1.212121,0.998792
3,12,7,28,0.2,0.2,0.3,0.2,0.7,0.24,0.2,1,0.999154
3,12,6,29,0.171429,0.2,0.333333,0.2,0.666667,0.25,0.18,1.111111,0.99938
2,13,6,29,0.171429,0.133333,0.25,0.133333,0.75,0.173913,0.16,0.833333,0.999784
2,13,5,30,0.142857,0.133333,0.285714,0.133333,0.714286,0.181818,0.14,0.952381,0.999907
2,13,4,31,0.114286,0.133333,0.333333,0.133333,0.666667,0.190476,0.12,1.111111,0.999977
1,14,4,31,0.114286,0.066667,0.2,0.066667,0.8,0.1,0.1,0.666667,0.999982
1,14,3,32,0.085714,0.066667,0.25,0.066667,0.75,0.105263,0.08,0.833333,0.999988
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.999994
1,14,1,34,0.028571,0.066667,0.5,0.066667,0.5,0.117647,0.04,?,0.999999
0,15,1,34,0.028571,0,0,0,1,?,0.02,?,0.999999
0,15,0,35,0,0,?,0,?,?,0,?,1.000009
