@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,31,0,1,1,0.326087,1,0.673913,0.491803,1,1,0.000004
15,0,30,1,0.967742,1,0.333333,1,0.666667,0.5,0.978261,1.022222,0.000007
15,0,29,2,0.935484,1,0.340909,1,0.659091,0.508475,0.956522,1.045455,0.000045
14,1,29,2,0.935484,0.933333,0.325581,0.933333,0.674419,0.482759,0.934783,0.99845,0.00015
14,1,28,3,0.903226,0.933333,0.333333,0.933333,0.666667,0.491228,0.913043,1.022222,0.000151
14,1,27,4,0.870968,0.933333,0.341463,0.933333,0.658537,0.5,0.891304,1.047154,0.000422
14,1,26,5,0.83871,0.933333,0.35,0.933333,0.65,0.509091,0.869565,1.073333,0.000477
13,2,26,5,0.83871,0.866667,0.333333,0.866667,0.666667,0.481481,0.847826,1.022222,0.000607
13,2,25,6,0.806452,0.866667,0.342105,0.866667,0.657895,0.490566,0.826087,1.049123,0.001087
13,2,24,7,0.774194,0.866667,0.351351,0.866667,0.648649,0.5,0.804348,1.077477,0.001131
13,2,23,8,0.741935,0.866667,0.361111,0.866667,0.638889,0.509804,0.782609,1.107407,0.001244
13,2,22,9,0.709677,0.866667,0.371429,0.866667,0.628571,0.52,0.76087,1.139048,0.001775
13,2,21,10,0.677419,0.866667,0.382353,0.866667,0.617647,0.530612,0.73913,1.172549,0.002377
13,2,20,11,0.645161,0.866667,0.393939,0.866667,0.606061,0.541667,0.717391,1.208081,0.005085
13,2,19,12,0.612903,0.866667,0.40625,0.866667,0.59375,0.553191,0.695652,1.245833,0.006577
13,2,18,13,0.580645,0.866667,0.419355,0.866667,0.580645,0.565217,0.673913,1.286022,0.007853
13,2,17,14,0.548387,0.866667,0.433333,0.866667,0.566667,0.577778,0.652174,1.328889,0.008718
13,2,16,15,0.516129,0.866667,0.448276,0.866667,0.551724,0.590909,0.630435,1.374713,0.04435
13,2,15,16,0.483871,0.866667,0.464286,0.866667,0.535714,0.604651,0.608696,1.42381,0.069965
13,2,14,17,0.451613,0.866667,0.481481,0.866667,0.518519,0.619048,0.586957,1.476543,0.109199
13,2,13,18,0.419355,0.866667,0.5,0.866667,0.5,0.634146,0.565217,1.533333,0.146593
12,3,13,18,0.419355,0.8,0.48,0.8,0.52,0.6,0.543478,1.472,0.211341
12,3,12,19,0.387097,0.8,0.5,0.8,0.5,0.615385,0.521739,1.533333,0.490118
12,3,11,20,0.354839,0.8,0.521739,0.8,0.478261,0.631579,0.5,1.6,0.531055
12,3,10,21,0.322581,0.8,0.545455,0.8,0.454545,0.648649,0.478261,1.672727,0.694456
11,4,10,21,0.322581,0.733333,0.52381,0.733333,0.47619,0.611111,0.456522,1.606349,0.713354
10,5,10,21,0.322581,0.666667,0.5,0.666667,0.5,0.571429,0.434783,1.533333,0.76222
5,10,9,22,0.290323,0.333333,0.357143,0.333333,0.642857,0.344828,0.304348,1.095238,0.883886
5,10,8,23,0.258065,0.333333,0.384615,0.333333,0.615385,0.357143,0.282609,1.179487,0.897095
5,10,7,24,0.225806,0.333333,0.416667,0.333333,0.583333,0.37037,0.26087,1.277778,0.960464
4,11,7,24,0.225806,0.266667,0.363636,0.266667,0.636364,0.307692,0.23913,1.115152,0.963057
4,11,6,25,0.193548,0.266667,0.4,0.266667,0.6,0.32,0.217391,1.226667,0.964383
4,11,5,26,0.16129,0.266667,0.444444,0.266667,0.555556,0.333333,0.195652,1.362963,0.991811
3,12,5,26,0.16129,0.2,0.375,0.2,0.625,0.26087,0.173913,1.15,0.992069
2,13,5,26,0.16129,0.133333,0.285714,0.133333,0.714286,0.181818,0.152174,0.87619,0.992786
1,14,5,26,0.16129,0.066667,0.166667,0.066667,0.833333,0.095238,0.130435,0.511111,0.993936
1,14,4,27,0.129032,0.066667,0.2,0.066667,0.8,0.1,0.108696,0.613333,0.99791
1,14,3,28,0.096774,0.066667,0.25,0.066667,0.75,0.105263,0.086957,0.766667,0.998381
1,14,2,29,0.064516,0.066667,0.333333,0.066667,0.666667,0.111111,0.065217,?,0.998521
1,14,1,30,0.032258,0.066667,0.5,0.066667,0.5,0.117647,0.043478,?,0.999732
0,15,1,30,0.032258,0,0,0,1,?,0.021739,?,0.999883
0,15,0,31,0,0,?,0,?,?,0,?,0.999893
