@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
15,0,35,0,1,1,0.3,1,0.7,0.461538,1,1,0.00028
15,0,34,1,0.971429,1,0.306122,1,0.693878,0.46875,0.98,1.020408,0.000905
14,1,34,1,0.971429,0.933333,0.291667,0.933333,0.708333,0.444444,0.96,0.972222,0.003136
14,1,33,2,0.942857,0.933333,0.297872,0.933333,0.702128,0.451613,0.94,0.992908,0.025976
14,1,32,3,0.914286,0.933333,0.304348,0.933333,0.695652,0.459016,0.92,1.014493,0.080808
14,1,31,4,0.885714,0.933333,0.311111,0.933333,0.688889,0.466667,0.9,1.037037,0.092027
9,6,29,6,0.828571,0.6,0.236842,0.6,0.763158,0.339623,0.76,0.789474,0.116112
8,7,29,6,0.828571,0.533333,0.216216,0.533333,0.783784,0.307692,0.74,0.720721,0.138078
8,7,28,7,0.8,0.533333,0.222222,0.533333,0.777778,0.313725,0.72,0.740741,0.146544
8,7,27,8,0.771429,0.533333,0.228571,0.533333,0.771429,0.32,0.7,0.761905,0.218429
8,7,25,10,0.714286,0.533333,0.242424,0.533333,0.757576,0.333333,0.66,0.808081,0.431871
8,7,24,11,0.685714,0.533333,0.25,0.533333,0.75,0.340426,0.64,0.833333,0.644421
8,7,23,12,0.657143,0.533333,0.258065,0.533333,0.741935,0.347826,0.62,0.860215,0.662633
8,7,22,13,0.628571,0.533333,0.266667,0.533333,0.733333,0.355556,0.6,0.888889,0.746375
7,8,22,13,0.628571,0.466667,0.241379,0.466667,0.758621,0.318182,0.58,0.804598,0.859009
7,8,21,14,0.6,0.466667,0.25,0.466667,0.75,0.325581,0.56,0.833333,0.869952
6,9,21,14,0.6,0.4,0.222222,0.4,0.777778,0.285714,0.54,0.740741,0.918506
6,9,20,15,0.571429,0.4,0.230769,0.4,0.769231,0.292683,0.52,0.769231,0.919336
6,9,19,16,0.542857,0.4,0.24,0.4,0.76,0.3,0.5,0.8,0.920827
6,9,18,17,0.514286,0.4,0.25,0.4,0.75,0.307692,0.48,0.833333,0.924868
6,9,16,19,0.457143,0.4,0.272727,0.4,0.727273,0.324324,0.44,0.909091,0.941573
6,9,13,22,0.371429,0.4,0.315789,0.4,0.684211,0.352941,0.38,1.052632,0.958807
6,9,12,23,0.342857,0.4,0.333333,0.4,0.666667,0.363636,0.36,1.111111,0.958911
5,10,12,23,0.342857,0.333333,0.294118,0.333333,0.705882,0.3125,0.34,0.980392,0.969721
5,10,11,24,0.314286,0.333333,0.3125,0.333333,0.6875,0.322581,0.32,1.041667,0.981321
5,10,10,25,0.285714,0.333333,0.333333,0.333333,0.666667,0.333333,0.3,1.111111,0.983321
4,11,10,25,0.285714,0.266667,0.285714,0.266667,0.714286,0.275862,0.28,0.952381,0.989688
4,11,9,26,0.257143,0.266667,0.307692,0.266667,0.692308,0.285714,0.26,1.025641,0.98992
4,11,8,27,0.228571,0.266667,0.333333,0.266667,0.666667,0.296296,0.24,1.111111,0.994405
3,12,8,27,0.228571,0.2,0.272727,0.2,0.727273,0.230769,0.22,0.909091,0.995195
3,12,7,28,0.2,0.2,0.3,0.2,0.7,0.24,0.2,1,0.998167
3,12,6,29,0.171429,0.2,0.333333,0.2,0.666667,0.25,0.18,1.111111,0.998864
3,12,5,30,0.142857,0.2,0.375,0.2,0.625,0.26087,0.16,1.25,0.999014
3,12,4,31,0.114286,0.2,0.428571,0.2,0.571429,0.272727,0.14,1.428571,0.999423
3,12,3,32,0.085714,0.2,0.5,0.2,0.5,0.285714,0.12,1.666667,0.999627
3,12,2,33,0.057143,0.2,0.6,0.2,0.4,0.3,0.1,2,0.99974
2,13,2,33,0.057143,0.133333,0.5,0.133333,0.5,0.210526,0.08,1.666667,0.999816
1,14,2,33,0.057143,0.066667,0.333333,0.066667,0.666667,0.111111,0.06,?,0.999979
0,15,0,35,0,0,?,0,?,?,0,?,0.999989
